X,Y,Z
5.370000,-15.570000,-63.770000
5.610000,-15.390000,-63.590000
5.350000,-15.300000,-63.770000
6.560000,5.780000,35.650000
-14.920000,5.590000,-14.230000
-15.940000,6.550000,-14.010000
-14.420000,5.840000,-13.850000
-14.730000,5.780000,-13.880000
6.430000,5.860000,35.290000
6.530000,5.900000,35.660000
5.320000,4.720000,35.410000
5.430000,-15.370000,-63.770000
-14.530000,5.600000,-14.060000
5.850000,-16.720000,-63.410000
5.510000,4.950000,35.290000
-14.680000,5.910000,-14.040000
-14.940000,6.070000,-13.850000
-15.800000,6.460000,-14.230000
5.620000,4.630000,35.420000
5.220000,-15.800000,-63.680000
5.350000,-15.100000,-63.680000
5.530000,-15.300000,-63.770000
5.820000,4.670000,35.390000
5.270000,-15.240000,-63.750000
5.480000,-15.060000,-63.620000
5.390000,4.920000,35.290000
5.360000,4.670000,35.420000
5.670000,-15.280000,-63.410000
5.760000,-16.440000,-63.770000
-15.940000,6.160000,-14.110000
5.430000,-15.060000,-63.600000
5.300000,-15.240000,-63.770000
5.470000,4.630000,35.470000
5.780000,-15.340000,-63.410000
-14.650000,5.910000,-14.300000
5.350000,4.710000,35.360000
5.510000,4.670000,35.310000
6.560000,5.650000,35.650000
5.570000,5.100000,35.550000
5.530000,4.700000,35.290000
-14.450000,5.710000,-13.940000
-14.500000,5.620000,-13.970000
-14.440000,5.670000,-13.990000
-15.070000,5.760000,-14.350000
6.350000,5.810000,35.650000
5.980000,4.940000,35.290000
-14.550000,5.930000,-14.250000
6.010000,-16.710000,-63.900000
5.410000,4.650000,35.380000
5.360000,4.750000,35.310000
-14.400000,5.710000,-14.040000
-14.400000,5.770000,-13.940000
6.680000,5.820000,35.230000
-14.610000,5.960000,-14.170000
5.770000,5.490000,35.650000
5.930000,-15.910000,-63.630000
-14.440000,5.680000,-14.100000
-14.690000,6.250000,-13.880000
-14.560000,5.940000,-14.130000
-14.420000,5.740000,-13.930000
-14.720000,5.950000,-13.940000
5.590000,4.640000,35.370000
-15.920000,6.420000,-14.000000
-14.450000,5.640000,-14.090000
5.330000,-15.140000,-63.700000
-15.100000,5.680000,-14.340000
5.410000,-15.170000,-63.770000
6.440000,5.790000,35.650000
5.310000,-15.140000,-63.650000
5.540000,4.880000,35.650000
6.600000,5.950000,35.760000
5.500000,4.670000,35.310000
-15.700000,6.420000,-14.290000
5.790000,-15.490000,-63.760000
-14.410000,5.820000,-13.870000
-14.580000,5.610000,-14.080000
5.390000,-15.490000,-63.770000
5.570000,-15.250000,-63.770000
-15.640000,6.530000,-14.010000
-14.910000,6.170000,-13.850000
